"Controlar el uso de ; al final de sentencias secuenciales"|Controlar el uso de ; al final de sentencias secuenciales|pseint/LangSettings.cpp|20|Control the use of ; at the end of sequential statements|READY
"arreglo (por ejemplo, se puede pedir al usuario del programa el tamaño leyendo un numero y utilizarlo luego para crear el "|arreglo (por ejemplo, se puede pedir al usuario del programa el tamano leyendo un numero y utilizarlo luego para crear el |pseint/LangSettings.cpp|51|array (for example, you can ask the user for a size and use it to create the|READY
"arreglo). Este suele ser el caso de los lenguajes interpretados, mientras que los lenguajes compilados suelen exigir que el "|arreglo). Este suele ser el caso de los lenguajes interpretados, mientras que los lenguajes compilados suelen exigir que el |pseint/LangSettings.cpp|52|array). This is typical of interpreted languages, while compiled languages usually require the|READY
"tamaño de los arreglos estáticos sea una constante (por ejemplo, C y C++)."|tamano de los arreglos estaticos sea una constante (por ejemplo, C y C++).|pseint/LangSettings.cpp|53|size of static arrays to be constant (e.g., C and C++).|READY

"Si esta opción está seleccionada se puede utilizar la palabra clave redimensión (o redimensionar) para cambiarle el tamaño "|Si esta opcion esta seleccionada se puede utilizar la palabra clave redimension (o redimensionar) para cambiarle el tamano |pseint/LangSettings.cpp|57|If this option is enabled, you can use the keyword resize (or redimension) to change the size|READY
"a un arreglo preexistente."|a un arreglo preexistente.|pseint/LangSettings.cpp|58|of an existing array.|READY

"Esta opción habilita la asignación con el signo igual (Ej: x=0;). En muchos casos esta sintaxis de asignación no se"|Esta opcion habilita la asignacion con el signo igual (Ej: x=0;). En muchos casos esta sintaxis de asignacion no se|pseint/LangSettings.cpp|62|This option enables assignment with the equal sign (e.g., x=0;). In many cases this syntax is not|READY
"permite, ya que en muchos lenguajes no se utilia el mismo operador para asignar y comparar, como sucede al activar"|permite, ya que en muchos lenguajes no se utilia el mismo operador para asignar y comparar, como sucede al activar|pseint/LangSettings.cpp|63|allowed, since many languages do not use the same operator for assignment and comparison, as happens when enabling|READY
"esta opción. En cualquier caso, las otras dos sintaxis de asignación (con <- y con :=) siguen siendo válidas."|esta opcion. En cualquier caso, las otras dos sintaxis de asignacion (con <- y con :=) siguen siendo validas.|pseint/LangSettings.cpp|64|this option. In any case, the other assignment syntaxes (<- and :=) remain valid.|READY

"Esta opción permite expresar las condiciones en un lenguaje más coloquial con construcciones como \"X ES PAR\", "|Esta opcion permite expresar las condiciones en un lenguaje mas coloquial con construcciones como \"X ES PAR\", |pseint/LangSettings.cpp|68|This option allows expressing conditions in a more natural language with constructs like \"X IS EVEN\",|READY
"\"X NO ES MULTIPLO DE 5\", \"X ES IGUAL A Y\", \"X ES ENTERO\", etc. Esta opción activa además el uso de palabras "|\"X NO ES MULTIPLO DE 5\", \"X ES IGUAL A Y\", \"X ES ENTERO\", etc. Esta opcion activa ademas el uso de palabras |pseint/LangSettings.cpp|69|\"X IS NOT A MULTIPLE OF 5\", \"X IS EQUAL TO Y\", \"X IS INTEGER\", etc. This option also enables the use of keywords|READY
"clave para reemplazar operadores."|clave para reemplazar operadores.|pseint/LangSettings.cpp|70|to replace operators.|READY

"Esta opción habilita variaciones opciónales en la sintaxis de ciertas instrucciones y estructuras de control. Por ejemplo, "|Esta opcion habilita variaciones opcionales en la sintaxis de ciertas instrucciones y estructuras de control. Por ejemplo, |pseint/LangSettings.cpp|74|This option enables optional variations in syntax for certain instructions and control structures. For example,|READY
"omitir la palabra HACER en un bucle MIENTRAS o PARA, utilizar la palabra DESDE para indicar el valor de inicio de un ciclo "|omitir la palabra HACER en un bucle MIENTRAS o PARA, utilizar la palabra DESDE para indicar el valor de inicio de un ciclo |pseint/LangSettings.cpp|75|omit the keyword DO in WHILE or FOR loops, use FROM to indicate the start value of a loop|READY
"PARA, separar la expresiones/variables en una lectura/escritura con espacios en lugar de comas, escribir FinProceso como Fin "|PARA, separar la expresiones/variables en una lectura/escritura con espacios en lugar de comas, escribir FinProceso como Fin |pseint/LangSettings.cpp|76|FOR, separate expressions/variables in input/output with spaces instead of commas, write EndProcess as End Process|READY
"Proceso, FinSi como Fin Si, etc."|Proceso, FinSi como Fin Si, etc.|pseint/LangSettings.cpp|77|Process, EndIf as End If, etc.|READY
"Con esta opción habilitada PSeInt acepta las palabras clave Y, O, NO, y MOD como sinónimos de los operadores &&, |, ~ y % respectivamente. "|Con esta opcion habilitada PSeInt acepta las palabras clave Y, O, NO, y MOD como sinonimos de los operadores &&, |, ~ y % respectivamente. |pseint/LangSettings.cpp|81|With this option enabled, PSeInt accepts the keywords Y, O, NO, and MOD as synonyms for the operators &&, |, ~ and % respectively.|READY
"Notar que en este caso estas palabras serán palabras reservadas y no se podrán utilizar como nombres de variables."|Notar que en este caso estas palabras seran palabras reservadas y no se podran utilizar como nombres de variables.|pseint/LangSettings.cpp|82|Note that in this case these words become reserved keywords and cannot be used as variable names.|READY

"Esta opción habilita un conjunto de funciones predefinidas que sirven para operar sobre cadenas de "|Esta opcion habilita un conjunto de funciones predefinidas que sirven para operar sobre cadenas de |pseint/LangSettings.cpp|90|This option enables a set of predefined functions used to operate on strings of|READY
"caracteres. Las funciones son: Longitud, SubCadena, Mayusculas, Minusculas y Concatenar)."|caracteres. Las funciones son: Longitud, SubCadena, Mayusculas, Minusculas y Concatenar).|pseint/LangSettings.cpp|91|characters. The functions are: Length, SubString, UpperCase, LowerCase and Concatenate.|READY

"Muchos lenguajes solo permiten utilizar números enteros para las expresiones de control de la estructura de "|Muchos lenguajes solo permiten utilizar numeros enteros para las expresiones de control de la estructura de |pseint/LangSettings.cpp|95|Many languages only allow integer values for control expressions in the structure of|READY
"selección múltiple (\"Según\" en PSeInt). Si habilita esta opción, PSeInt aplicará esta restricción. En caso "|seleccion multiple (\"Segun\" en PSeInt). Si habilita esta opcion, PSeInt aplicara esta restriccion. En caso |pseint/LangSettings.cpp|96|multiple selection (\"According\" in PSeInt). If enabled, PSeInt will enforce this restriction. Otherwise|READY
"contrario, podrá utilizar también variables de tipo caracter."|contrario, podra utilizar tambien variables de tipo caracter.|pseint/LangSettings.cpp|97|you may also use variables of character type.|READY

"Con esta opción activa, si no se especifica el valor del \"paso\" en una estructura de tipo \"Para\", se utiliza +1 o -1 "|Con esta opcion activa, si no se especifica el valor del \"paso\" en una estructura de tipo \"Para\", se utiliza +1 o -1 |pseint/LangSettings.cpp|101|With this option enabled, if the \"step\" value is not specified in a \"For\" structure, +1 or -1 is used|READY
"según corresponda. Se determina comparando los valores iniciales y finales, si el primero es mayor al segundo +1, o -1 "|segun corresponda. Se determina comparando los valores iniciales y finales, si el primero es mayor al segundo +1, o -1 |pseint/LangSettings.cpp|102|as appropriate. It is determined by comparing initial and final values: if the first is greater than the second, +1, otherwise -1|READY
"en caso contrario. Si se desactiva esta opción, se utilizará siempre +1 como paso por defecto."|en caso contrario. Si se desactiva esta opcion, se utilizara siempre +1 como paso por defecto.|pseint/LangSettings.cpp|103|otherwise. If disabled, +1 will always be used as the default step.|READY

"Con esta opción activada, los identificadores de variables y funciones pueden incluir letras con "|Con esta opcion activada, los identificadores de variables y funciones pueden incluir letras con |pseint/LangSettings.cpp|107|With this option enabled, variable and function identifiers may include letters with|READY
"acento, diéresis y/o la letra ñ. Si está desactivada, el uso de estas letras generará errores de "|acento, dieresis y/o la letra n. Si esta desactivada, el uso de estas letras generara errores de |pseint/LangSettings.cpp|108|accent marks, umlauts and/or the letter ñ. If disabled, using these characters will produce errors such as|READY
"\"identificador no válido\" y/o \"caracter no válido\"."|\"identificador no valido\" y/o \"caracter no valido\".|pseint/LangSettings.cpp|109|\"invalid identifier\" and/or \"invalid character\".|READY

"Con esta opción activada, al insertar plantillas, generar o autocompletar el pseudocódigo, "|Con esta opcion activada, al insertar plantillas, generar o autocompletar el pseudocodigo, |pseint/LangSettings.cpp|113|With this option enabled, when inserting templates, generating or autocompleting pseudocode,|READY
"se priorizará el uso de las palabras claves \"Algoritmo\" y \"FinAlgoritmo\" frente a "|se priorizara el uso de las palabras claves \"Algoritmo\" y \"FinAlgoritmo\" frente a |pseint/LangSettings.cpp|114|priority will be given to the keywords \"Algorithm\" and \"EndAlgorithm\" over|READY
"\"Proceso\" y \"FinProceso\" respectivamente. Si la opción está desactivada se utilizarán "|\"Proceso\" y \"FinProceso\" respectivamente. Si la opcion esta desactivada se utilizaran |pseint/LangSettings.cpp|115|\"Process\" and \"EndProcess\" respectively. If disabled,|READY
"por defecto las palabras clave \"Proceso\" y \"FinProceso\""|por defecto las palabras clave \"Proceso\" y \"FinProceso\"|pseint/LangSettings.cpp|116|the keywords \"Process\" and \"EndProcess\" will be used by default.|READY

"Con esta opción activada, al insertar plantillas, generar o autocompletar el pseudocódigo, "|Con esta opcion activada, al insertar plantillas, generar o autocompletar el pseudocodigo, |pseint/LangSettings.cpp|120|With this option enabled, when inserting templates, generating or autocompleting pseudocode,|READY
"se priorizará el uso de las palabras claves \"Función\" y \"FinFunción\" frente a "|se priorizara el uso de las palabras claves \"Funcion\" y \"FinFuncion\" frente a |pseint/LangSettings.cpp|121|priority will be given to the keywords \"Function\" and \"EndFunction\" over|READY
"\"SubProceso\" y \"FinSubProceso\" (o \"SubAlgoritmo\" y \"SubFinAlgoritmo\") respectivamente."|\"SubProceso\" y \"FinSubProceso\" (o \"SubAlgoritmo\" y \"SubFinAlgoritmo\") respectivamente.|pseint/LangSettings.cpp|122|\"SubProcess\" and \"EndSubProcess\" (or \"SubAlgorithm\" and \"EndSubAlgorithm\") respectively.|READY

"Habilita el uso de \"Mientras que <condición>\" en lugar de \"Hasta que <condición>\" "|Habilita el uso de \"Mientras que <condicion>\" en lugar de \"Hasta que <condicion>\" |pseint/LangSettings.cpp|126|Enables the use of \"While <condition>\" instead of \"Until <condition>\"|READY
"para cerrar una estructura RepetirEsta construcción alternativa itera por verdadero "|para cerrar una estructura RepetirEsta construccion alternativa itera por verdadero |pseint/LangSettings.cpp|127|to close a Repeat structure. This alternative iterates while true|READY
"en lugar de iterar por falso."|en lugar de iterar por falso.|pseint/LangSettings.cpp|128|instead of iterating while false.|READY

"Con esta opción activada, al seleccionar la estructura de control \"Repetir\" desde "|Con esta opcion activada, al seleccionar la estructura de control \"Repetir\" desde |pseint/LangSettings.cpp|132|With this option enabled, when selecting the \"Repeat\" control structure from|READY
"el panel de comandos (tanto del editor de pseudocódigo como del editor de diagramas "|el panel de comandos (tanto del editor de pseudocodigo como del editor de diagramas |pseint/LangSettings.cpp|133|the command panel (both pseudocode editor and flowchart editor)|READY
"de flujo) se insertará la versión \"Repetir ... Mientras que\" (que itera por "|de flujo) se insertara la version \"Repetir ... Mientras que\" (que itera por |pseint/LangSettings.cpp|134|the \"Repeat ... While\" version will be inserted (which iterates while|READY
"verdadero); mientras que si está desactivada se inserta la versión \"Repetir ... "|verdadero); mientras que si esta desactivada se inserta la version \"Repetir ... |pseint/LangSettings.cpp|135|true); otherwise the \"Repeat ... Until\" version will be inserted|READY
"Hasta que\" (que itera por falso)."|Hasta que\" (que itera por falso).|pseint/LangSettings.cpp|136|(which iterates while false).|READY

"Con esta opción habilitada se puede utilizar la versión alternativa de la estructura "|Con esta opcion habilitada se puede utilizar la version alternativa de la estructura |pseint/LangSettings.cpp|140|With this option enabled, you can use the alternative version of the|READY
"repetitiva \"Para\" que permite recorrer los elementos de un arreglo de forma más "|repetitiva \"Para\" que permite recorrer los elementos de un arreglo de forma mas |pseint/LangSettings.cpp|141|\"For\" loop that allows iterating through array elements more|READY
"simple. Ej: \"Para Cada Elemento de V Hacer ... FinPara\"."|simple. Ej: \"Para Cada Elemento de V Hacer ... FinPara\".|pseint/LangSettings.cpp|142|simply. Example: \"For Each Element of V Do ... EndFor\".|READY

"Con esta opción habilitada no se puede modificar la variable que se utiliza como "|Con esta opcion habilitada no se puede modificar la variable que se utiliza como |pseint/LangSettings.cpp|146|With this option enabled, the variable used as the loop counter cannot be modified|READY
"contador dentro de un para, y adicionalmente la variable deja de estar inicializada "|contador dentro de un para, y adicionalmente la variable deja de estar inicializada |pseint/LangSettings.cpp|147|inside a for loop, and additionally the variable is no longer initialized|READY
"una vez finalizado el bucle."|una vez finalizado el bucle.|pseint/LangSettings.cpp|148|after the loop ends.|READY
